"mu1","kappa1","mu2","kappa2","loglikelihood","weight1","dataset","model"
"same green_hl",0,2.04564839882441,NA,NA,-19.3113083868915,1,"green_hl","same"
"diff green_hl",-17.4565419056317,2.36133850817657,NA,NA,-17.6552943803379,1,"green_hl","diff"
"multi green_hl",349.561550809315,3.539,529.58489003942,0.001,-21.796,0.5,"green_hl","multi"
"same uv_hl",0,0,NA,NA,-31.2439101289589,1,"uv_hl","same"
"diff uv_hl",-78.7584543060627,0.762870429322288,NA,NA,-28.3361719253235,1,"uv_hl","diff"
"multi uv_hl",49.2743703812508,20.935,260.122838989394,4.796,-18.231,0.294,"uv_hl","multi"
"same uvg_h",0,4.46396642053965,NA,NA,-10.9220518996341,1,"uvg_h","same"
"diff uvg_h",13.1081174097193,5.82698511766761,NA,NA,-8.40029730961057,1,"uvg_h","diff"
"multi uvg_h",188.732297716093,0.001,368.698341166685,15.598,-11.801,0.5,"uvg_h","multi"
"same uvg_l",0,0.183790152950371,NA,NA,-30.705724538937,1,"uvg_l","same"
"diff uvg_l",-58.3920339364707,0.786136073737054,NA,NA,-28.2140100533173,1,"uvg_l","diff"
"multi uvg_l",47.2690180982929,4.979,270.722558199314,4.979,-22.077,0.347,"uvg_l","multi"
